N;Actividad;Produccion_PB;PB_Sim;Dif_pp;fila;columna;shock;year;S_Actividad;S_Componente_Demanda
9;Servicios empresariales;25172.307;25172.307;5.28E-11;6;1;-100;2016;Comercio, hoteles y restaurantes;Consumo_IPSFL
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;6;1;-100;2016;Comercio, hoteles y restaurantes;Consumo_IPSFL
11;Administración pública;11630.38587;11630.38587;-1.02E-12;6;1;-100;2016;Comercio, hoteles y restaurantes;Consumo_IPSFL
Total;Total;291262.9875;291262.9875;-5.14E-12;6;1;-100;2016;Comercio, hoteles y restaurantes;Consumo_IPSFL
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
1;Minería;24815.83798;24815.83798;3.36E-11;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
4;Construcción;25224.49908;25224.49908;-4.26E-14;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
9;Servicios empresariales;25172.307;25172.307;5.28E-11;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
11;Administración pública;11630.38587;11630.38587;-1.02E-12;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
Total;Total;291262.9875;291262.9875;-5.14E-12;7;1;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_IPSFL
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
1;Minería;24815.83798;24815.83798;3.36E-11;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
4;Construcción;25224.49908;25224.49908;-4.26E-14;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
9;Servicios empresariales;25172.307;25172.307;5.28E-11;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
11;Administración pública;11630.38587;11630.38587;-1.02E-12;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
Total;Total;291262.9875;291262.9875;-5.14E-12;8;1;-100;2016;Intermediación financiera;Consumo_IPSFL
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
1;Minería;24815.83798;24815.83798;3.36E-11;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
4;Construcción;25224.49908;25224.49908;-4.26E-14;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
9;Servicios empresariales;25172.307;25172.307;5.28E-11;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
11;Administración pública;11630.38587;11630.38587;-1.02E-12;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
Total;Total;291262.9875;291262.9875;-5.14E-12;9;1;-100;2016;Servicios inmobiliarios y de vivienda;Consumo_IPSFL
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
1;Minería;24815.83798;24815.83798;3.36E-11;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
4;Construcción;25224.49908;25224.49908;-4.26E-14;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
9;Servicios empresariales;25172.307;25172.307;5.28E-11;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
11;Administración pública;11630.38587;11630.38587;-1.02E-12;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
Total;Total;291262.9875;291262.9875;-5.14E-12;10;1;-100;2016;Servicios empresariales;Consumo_IPSFL
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;11;1;-100;2016;Servicios personales;Consumo_IPSFL
1;Minería;24815.83798;24815.83798;3.36E-11;11;1;-100;2016;Servicios personales;Consumo_IPSFL
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;11;1;-100;2016;Servicios personales;Consumo_IPSFL
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;11;1;-100;2016;Servicios personales;Consumo_IPSFL
4;Construcción;25224.49908;25224.49908;-4.26E-14;11;1;-100;2016;Servicios personales;Consumo_IPSFL
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;11;1;-100;2016;Servicios personales;Consumo_IPSFL
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;11;1;-100;2016;Servicios personales;Consumo_IPSFL
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;11;1;-100;2016;Servicios personales;Consumo_IPSFL
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;11;1;-100;2016;Servicios personales;Consumo_IPSFL
9;Servicios empresariales;25172.307;25172.307;5.28E-11;11;1;-100;2016;Servicios personales;Consumo_IPSFL
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;11;1;-100;2016;Servicios personales;Consumo_IPSFL
11;Administración pública;11630.38587;11630.38587;-1.02E-12;11;1;-100;2016;Servicios personales;Consumo_IPSFL
Total;Total;291262.9875;291262.9875;-5.14E-12;11;1;-100;2016;Servicios personales;Consumo_IPSFL
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
1;Minería;24815.83798;24815.83798;3.36E-11;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
4;Construcción;25224.49908;25224.49908;-4.26E-14;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
9;Servicios empresariales;25172.307;25172.307;5.28E-11;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
11;Administración pública;11630.38587;11630.38587;-1.02E-12;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
Total;Total;291262.9875;291262.9875;-5.14E-12;1;2;-100;2016;Agropecuario-silvícola y Pesca;Consumo_Gob
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;2;2;-100;2016;Minería;Consumo_Gob
1;Minería;24815.83798;24815.83798;3.36E-11;2;2;-100;2016;Minería;Consumo_Gob
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;2;2;-100;2016;Minería;Consumo_Gob
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;2;2;-100;2016;Minería;Consumo_Gob
4;Construcción;25224.49908;25224.49908;-4.26E-14;2;2;-100;2016;Minería;Consumo_Gob
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;2;2;-100;2016;Minería;Consumo_Gob
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;2;2;-100;2016;Minería;Consumo_Gob
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;2;2;-100;2016;Minería;Consumo_Gob
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;2;2;-100;2016;Minería;Consumo_Gob
9;Servicios empresariales;25172.307;25172.307;5.28E-11;2;2;-100;2016;Minería;Consumo_Gob
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;2;2;-100;2016;Minería;Consumo_Gob
11;Administración pública;11630.38587;11630.38587;-1.02E-12;2;2;-100;2016;Minería;Consumo_Gob
Total;Total;291262.9875;291262.9875;-5.14E-12;2;2;-100;2016;Minería;Consumo_Gob
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;3;2;-100;2016;Industria manufacturera;Consumo_Gob
1;Minería;24815.83798;24815.83798;3.36E-11;3;2;-100;2016;Industria manufacturera;Consumo_Gob
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;3;2;-100;2016;Industria manufacturera;Consumo_Gob
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;3;2;-100;2016;Industria manufacturera;Consumo_Gob
4;Construcción;25224.49908;25224.49908;-4.26E-14;3;2;-100;2016;Industria manufacturera;Consumo_Gob
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;3;2;-100;2016;Industria manufacturera;Consumo_Gob
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;3;2;-100;2016;Industria manufacturera;Consumo_Gob
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;3;2;-100;2016;Industria manufacturera;Consumo_Gob
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;3;2;-100;2016;Industria manufacturera;Consumo_Gob
9;Servicios empresariales;25172.307;25172.307;5.28E-11;3;2;-100;2016;Industria manufacturera;Consumo_Gob
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;3;2;-100;2016;Industria manufacturera;Consumo_Gob
11;Administración pública;11630.38587;11630.38587;-1.02E-12;3;2;-100;2016;Industria manufacturera;Consumo_Gob
Total;Total;291262.9875;291262.9875;-5.14E-12;3;2;-100;2016;Industria manufacturera;Consumo_Gob
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
1;Minería;24815.83798;24815.83798;3.36E-11;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
4;Construcción;25224.49908;25224.49908;-4.26E-14;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
9;Servicios empresariales;25172.307;25172.307;5.28E-11;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
11;Administración pública;11630.38587;11630.38587;-1.02E-12;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
Total;Total;291262.9875;291262.9875;-5.14E-12;4;2;-100;2016;Electricidad, gas, agua y gestión de desechos;Consumo_Gob
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;5;2;-100;2016;Construcción;Consumo_Gob
1;Minería;24815.83798;24815.83798;3.36E-11;5;2;-100;2016;Construcción;Consumo_Gob
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;5;2;-100;2016;Construcción;Consumo_Gob
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;5;2;-100;2016;Construcción;Consumo_Gob
4;Construcción;25224.49908;25224.49908;-4.26E-14;5;2;-100;2016;Construcción;Consumo_Gob
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;5;2;-100;2016;Construcción;Consumo_Gob
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;5;2;-100;2016;Construcción;Consumo_Gob
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;5;2;-100;2016;Construcción;Consumo_Gob
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;5;2;-100;2016;Construcción;Consumo_Gob
9;Servicios empresariales;25172.307;25172.307;5.28E-11;5;2;-100;2016;Construcción;Consumo_Gob
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;5;2;-100;2016;Construcción;Consumo_Gob
11;Administración pública;11630.38587;11630.38587;-1.02E-12;5;2;-100;2016;Construcción;Consumo_Gob
Total;Total;291262.9875;291262.9875;-5.14E-12;5;2;-100;2016;Construcción;Consumo_Gob
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
1;Minería;24815.83798;24815.83798;3.36E-11;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
4;Construcción;25224.49908;25224.49908;-4.26E-14;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
9;Servicios empresariales;25172.307;25172.307;5.28E-11;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
11;Administración pública;11630.38587;11630.38587;-1.02E-12;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
Total;Total;291262.9875;291262.9875;-5.14E-12;6;2;-100;2016;Comercio, hoteles y restaurantes;Consumo_Gob
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;7;2;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_Gob
1;Minería;24815.83798;24815.83798;3.36E-11;7;2;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_Gob
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;7;2;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_Gob
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;7;2;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_Gob
4;Construcción;25224.49908;25224.49908;-4.26E-14;7;2;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_Gob
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;7;2;-100;2016;Transporte, comunicaciones y servicios de información;Consumo_Gob
